category	description	cov	adv	free	bold	rank1	rank2	rank3	rank4	rank5	rank6	rank7	rank8	rank9	rank10	cov_us_year	cov_conversions_year
97008407	(Triethylsilyl)acetylene	EM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	EP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	GA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	GT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	IL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	JN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	MO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	NA	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1
97008407	(Triethylsilyl)acetylene	NT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	PR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	WA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	WI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008407	(Triethylsilyl)acetylene	WP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008818	1,1,1,3,3-Pentafluoropropane	DN	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
97008818	1,1,1,3,3-Pentafluoropropane	NA	1	0	1	0	0	0	0	0	0	0	0	0	0	27	8
97008679	1,1,3,3-Tetrabutylurea	CS	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
97008679	1,1,3,3-Tetrabutylurea	DN	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
97008679	1,1,3,3-Tetrabutylurea	EP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008679	1,1,3,3-Tetrabutylurea	JN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008679	1,1,3,3-Tetrabutylurea	MO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008679	1,1,3,3-Tetrabutylurea	NA	2	3	2	0	0	0	0	0	0	0	0	0	0	7	2
97008679	1,1,3,3-Tetrabutylurea	NT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008679	1,1,3,3-Tetrabutylurea	WI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	EM	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	EP	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	GA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	GT	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	IL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	JN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	MO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	NA	0	4	0	0	0	0	0	0	0	0	0	0	0	10	2
97008349	1,1-Diphenyl-2-propyn-1-ol	OR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	PR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	WA	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008349	1,1-Diphenyl-2-propyn-1-ol	WI	0	1	0	0	0	0	0	0	0	0	0	0	0	1	6
97008349	1,1-Diphenyl-2-propyn-1-ol	WP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008402	1,10-Phenanthroline	EM	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
97008402	1,10-Phenanthroline	EP	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
97008402	1,10-Phenanthroline	MO	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008402	1,10-Phenanthroline	NA	0	3	0	0	0	0	0	0	0	0	0	0	0	13	6
97008402	1,10-Phenanthroline	OR	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008402	1,10-Phenanthroline	WI	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008725	1,2,4-Trimethylbenzene	DN	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
97008725	1,2,4-Trimethylbenzene	EM	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
97008725	1,2,4-Trimethylbenzene	EP	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
